lower,upper,weight
2200,2800,0.000832961
2800,3600,0.006795891
3600,4700,0.010746074
4700,6000,0.012514807
6000,7700,0.033961671
7700,9900,0.056495643
9900,12700,0.061135305
12700,16300,0.081532622
16300,21000,0.094317337
21000,26900,0.116546926
26900,34600,0.117914457
34600,44400,0.126719849
44400,57000,0.107215589
57000,73200,0.075016589
73200,94000,0.047784181
94000,120700,0.050470097
